id,first_name,last_name,email,country,ip_address,fave_color,sponsor,home_city,has_amity,has_zamity,has_alpha,has_bravo,has_charlie,has_delta
1,Alan,Garza,agarza@brainbox.gov,Ethiopia,174.13.127.207,Violet,bellpotter.com.au,Simi Valley,true,false,true,false,false,true
2,Steven,Austin,saustin@edgeblab.biz,Tunisia,243.241.169.165,Maroon,uemoa.int,Aliso Viejo,true,false,false,false,false,false
3,Alan,Hunt,ahunt@kayveo.mil,Japan,76.204.180.229,Aquamarine,keralatourism.com,La Palma,false,true,false,false,false,true
4,Karen,Hughes,khughes@demivee.info,Romania,169.100.112.62,Aquamarine,filas.it,Los Altos,false,true,false,true,true,true
5,Anne,Morgan,amorgan@mydeo.biz,Hong Kong,135.106.40.223,Yellow,rif.org,Buellton,false,true,true,false,true,true
6,Albert,Clark,aclark@centizu.biz,French Southern Territories,12.129.117.80,Goldenrod,myttk.ru,Windsor,false,true,true,false,false,true
7,Kathleen,Vasquez,kvasquez@meevee.edu,"Korea, North",207.137.228.105,Crimson,eyesasbigasplates.wordpress.com,Paso Robles,true,true,false,false,false,true
8,Carlos,Gibson,cgibson@realpoint.edu,Nigeria,27.47.83.225,Goldenrod,menucardsonline.com,Monterey,true,true,true,true,false,true
9,Peter,Bennett,pbennett@zava.mil,"Palestinian Territory, Occupied",90.126.172.83,Goldenrod,monika-birkner.de,Port Hueneme,true,false,true,false,true,false
10,George,Reid,greid@innojam.net,Qatar,24.241.178.134,Aquamarine,itbear.com.cn,Pico Rivera,false,true,false,true,true,true
11,Sarah,Austin,saustin@realbridge.mil,French Polynesia,75.126.35.199,Green,staplessurvey.com,San Joaquin,false,true,false,true,true,false
12,Jimmy,Hicks,jhicks@skinix.com,Austria,30.157.27.13,Green,pricedash.com,Pacific Grove,false,true,true,true,true,true
13,Heather,Phillips,hphillips@gabcube.net,American Samoa,101.232.134.31,Aquamarine,rssi.ru,Livingston,false,true,true,true,false,false
14,Barbara,Larson,blarson@avamm.edu,Christmas Island,49.192.31.252,Crimson,odq.com.cn,La Mesa,false,false,false,false,false,false
15,Martin,Cruz,mcruz@zoonoodle.gov,Kazakhstan,91.111.34.211,Pink,axcoders.com,Barstow,true,true,true,false,false,true
